text,language
Gemoedskalmte en beheersug sit nie in dieselfde leunstoel nie.,Afrikaans
"O ye, of little faith",English
Daardie ou mannetjie is darem maar ‘n kapoevaproppie.,Afrikaans
High-flyer,English
"As petrol en vuur bymekaar kom, brand dit en as mis en donderweer bymekaar kom. reën dit.",Afrikaans
Which witch is which?,English
Spare the rod and spoil the child,English
Laugh like a drain,English
Lo and behold,English
Grond vreet.,Afrikaans
"Dit verg meer moed om te ly, as om te sterf.",Afrikaans
Queer as a nine bob note,English
Chalk and cheese,English
Ek sal jou opkoffie as jy sê my span speel sleg.,Afrikaans
Hands down,English
Place for everything and everything in its place - A,English
Stranger danger,English
Battle royal,English
"Rag, tag and bobtail",English
Onder die besemstok staan.,Afrikaans
Twenty four seven,English
Ek verwonder my dat daardie sterk vrou so skielik dood is en daardie siek man so lank leef….,Afrikaans
,Afrikaans
Cat got your tongue?,English
Like it or lump it,English
Bezint eer gij begint.,Nederlands
How are the mighty fallen?,English
A foot in the door,English
Die plaas is nie ‘n koei wat in die hemel kos kry en op aard gemelk kan word nie.,Afrikaans
Spruce-up,English
Go whole hog,English
Whole nine yards - The,English
Bee in your bonnet,English
On the button,English
Die has been cast - The,English
Beat the living daylights out of someone,English
Take the cake,English
Wag tot Letjie kom.,Afrikaans
Four by two,English
Nip in the bud,English
Die berg het ‘n muis gebaar.,Afrikaans
Hunt and peck,English
Hy is op die afdraand met sy briek los.,Afrikaans
Woe betide you,English
Te laat vir sy eie begrafnis wees.,Afrikaans
Run out of steam,English
Loved-up,English
Back to basics,English
The pip - Get/got/have,English
Happy clappy,English
Die mens met min woorde se solder is so klein dat daar nie plek vir kaf is nie.,Afrikaans
"Geld is kleurblind, maar terselfdertyd uiters sensitief vir politike uitsprake.",Afrikaans
Hy is ‘n wolf in skaapklere.,Afrikaans
Beware the Ides of March,English
Not my cup of tea,English
,English
Too much of a good thing,English
Riff-raff,English
Spitting feathers,English
Moenie oor my treur nie – wees bly dat ek eens hier was.,Afrikaans
Market forces,English
Indian summer,English
The balance of trade,English
Above board,English
Is the Pope Polish?,English
Better to have loved and lost than never to have loved at all,English
Plain sailing,English
Things that go bump in the night,English
"Wonder waar was Jors en sy meisie gisteraand, sy het al weer kruipknietjies.",Afrikaans
My giddy aunt,English
"Uit het oog, uit het hart.",Nederlands
Jy hou jou rammetjie-uitnek.,Afrikaans
Hy het kaplaks van die stoel af geval.,Afrikaans
Spelling-bee,English
By and large,English
Gebraaide duiwe vlieg niemand in die mond nie.,Afrikaans
,English
Penny saved is a penny earned - A,English
That's all she wrote,English
"Die belangrikste eienskap wat ‘n jong meisie moet openbaar, is blymoedigheid in haar lewensuitkyk.",Afrikaans
Vir g’n geld of goeie woorde te kry nie.,Afrikaans
For all intents and purposes,English
"As die muis dik is, is die kaas bitter.",Afrikaans
Go berserk,English
Whole-hearted,English
Jors praat al weer Engels.,Afrikaans
Women and children first,English
Drink like a fish,English
(The) order of the boot,English
Without let or hindrance,English
Give a man a fish and you will feed him for a day,English
Nest-egg,English
‘n Blinde hoender vind ook ‘n korreltjie.,Afrikaans
Preposterous,English
"“Pasop vir Chantel, sy brand die kookwater”.",Afrikaans
Draai jou mantel na die wind.,Afrikaans
Necessity is the mother of invention,English
Labour of love,English
Butter wouldn't melt in his mouth,English
To big for your breeches,English
"Eind goed, al goed.",Nederlands
Air quotes,English
Jou brandewyn bloots drink.,Afrikaans
All publicity is good publicity,English
"Romeo, Romeo, wherefore art thou Romeo?",English
Panic stations,English
Pommy bashing,English
Get on my wick,English
For all intents and purposes,English
No man is an island,English
Die meisies by Tukkies is gek oor mieliestamp.,Afrikaans
Exception that proves the rule - The,English
P.D.Q. - pretty damn quick,English
Bane of your life,English
Bad hair day,English
Less is more,English
In the bag,English
"The ants are my friends, they're blowing in the wind",English
It came like a bolt from the blue,English
The bane of my life,English
Hy groei deur sy hare.,Afrikaans
,Afrikaans
"To sleep: perchance to dream: ay, there's the rub",English
An Englishman's home is his castle,English
Dis nou druiwe na die Boland stuur.,Afrikaans
Love is blind,English
Cliff-hanger,English
Put paid to,English
No more cakes and ale?,English
Come up trumps,English
"Jack of all trades, master of none",English
A woman needs a man like a fish needs a bicycle,English
Happy slapping,English
Word in your shell-like - A,English
Alte goed is buurmansgek.,Afrikaans
Shakers and movers,English
Jy hou jou latjiesbeen by ‘n meisie.,Afrikaans
Ne'er do well,English
Brandewyn raas as dit uit die vat uit kom.,Afrikaans
Met geweld kan mens jou duim in jou hol afbreek.,Afrikaans
Turn a blind eye,English
Shit for brains,English
"Die lewe het my leer dink, maar die dink het my nie leer leef nie.",Afrikaans
"Something old, something new, something borrowed, something blue",English
Five o'clock shadow,English
Hoe bewierook hy nou sy baas.,Afrikaans
Stand up guy,English
Go and boil your head,English
Against the grain,English
Curiosity killed the cat,English
"Ek sien die veld, die Bosse, Berge, Vlakte. Ek hoor hoe fluister grasse, stroom en wind. O Heer, U sorg vir klein, vir groot, vir alles en U sorg dag na dag vir my, U kind.",Afrikaans
Eers grootmense en dan langore.,Afrikaans
Bought the farm,English
Horse feathers,English
Fell swoop - At one,English
Bread always falls buttered side down,English
You can't get blood out of a stone,English
’n Gedurige gedrup maak ’n gat in ’n klip.,Afrikaans
Alle wegen leiden naar Rome.,Nederlands
,Afrikaans
Well heeled,English
Die doodskleed het geen sakke nie.,Afrikaans
Absence makes the heart grow fonder,English
Sy hempie is kort.,Afrikaans
Cut of your jib - The,English
Main chance,English
Silly season,English
Je moet de vieze was niet buiten hangen.,Nederlands
Lose your marbles,English
Barking up the wrong tree,English
Homonyms,English
All things come to he who waits,English
Birds of a feather flock together,English
Warts and all,English
Geld wat stom is maak reg wat krom is.,Afrikaans
Baby blues,English
Spill the beans,English
Buckle down,English
Hobby-horse,English
The birds and the bees,English
Vir kwaadgeld rondloop.,Afrikaans
Dog in the manger,English
As white as snow,English
Geld uit iemand se sak jaag.,Afrikaans
Vanish into thin air,English
First World,English
Sit die babatjie op iemand anders se drumpel.,Afrikaans
A fish rots from the head down,English
Dark horse,English
The cut of your jib,English
Leopard cannot change its spots - A,English
Fools' gold,English
Go haywire,English
"Agter die kruis, staan altyd die duiwel.",Afrikaans
,Nederlands
Hy het rooimiere.,Afrikaans
Fair to middling,English
Clog up,English
As keen as mustard,English
Die lewe is nie net swart en wit nie.,Afrikaans
A bunch of fives,English
I see you stand like greyhounds in the slips,English
Greased lightning,English
"‘n Land wat vir sy landbou sorg, sorg vir sy volhoubare toekoms.",Afrikaans
Sy doen die canyon tango.,Afrikaans
Grist to the mill,English
"Moenie die beer se vel verkoop, voordat hy geskiet is nie.",Afrikaans
Foot of our stairs - The,English
Short shrift,English
Get the pip,English
Plague on both your houses - A,English
If the cap fits,English
For ever and a day,English
Zero tolerance,English
Body - phrases related to the human body,English
Topsy-turvy,English
Tall story,English
Red-handed (caught),English
Winter drawers on,English
On the wagon,English
Saartjie soen.,Afrikaans
,English
A rolling stone gathers no moss,English
Blow a raspberry - see raspberry tart,English
Go pound sand,English
An offer he can't refuse,English
A woman's place is in the home,English
The Devil Incarnate,English
Freezing temperatures,English
The last straw,English
The female of the species is more deadly then the male,English
Break the ice,English
I'm stumped,English
“Sy praat mos so onder haar asem. ”,Afrikaans
Pigs might fly,English
"Klein diewe het ysterkettings, groot diewe goue kettings.",Afrikaans
There is no alternative,English
Kilroy was here,English
Aga saga,English
"If wishes were horses, beggars would ride",English
Nul points,English
Teenspoed ontlont talente wat in voorspoed dormant sou bly.,Afrikaans
Plooie pyn nie.,Afrikaans
Countenance more in sorrow than in anger - A,English
Hy is met sy broek op sy enkels betrap.,Afrikaans
Set one's cap at,English
Fancy pants,English
Jy steek jou kop in 'n bynes.,Afrikaans
Say cheese,English
Rhyme nor reason,English
"Waar bloed nie kan kruip nie, loop dit.",Afrikaans
Die botter het alleen geslaap.,Afrikaans
Make haste,English
"(An) eye for an eye, a tooth for a tooth",English
(Take with a) pinch of salt,English
Honesty is the best policy,English
Caught by the short hairs,English
,Afrikaans
Short end of the stick - The,English
Whipping boy,English
"Hoe groter gees, hoe groter bees.",Afrikaans
Shambles,English
Woman needs a man like a fish needs a bicycle - A,English
Maak jou vriendelikheid goedkoop en hou jou vriendskap duur.,Afrikaans
Pick 'n' mix,English
Tinker's dam,English
Weasel words,English
I will swing for you,English
"Stuur die luiaard na die mier en as hy nie te lui is om te gaan nie, sal hy te lui wees om terug te kom.",Afrikaans
Ons  se geheim: Aanpasbaarheid.,Afrikaans
(Coming in) on a wing and a prayer,English
Run amok,English
The shot heard 'round the world,English
Daai manne by die spele ry toe-speek!,Afrikaans
Lame duck,English
Sy vertel hom waar die bus stop.,Afrikaans
Al fresco,English
Hou op sit op my hakke.,Afrikaans
“Die beste vakansie is die een waar die vrouens byt en die muskiete nie.”,Afrikaans
Drummed out of the army,English
Hy is Jan Salie vanuit die Wag- 'n-bietjie- bosse.,Afrikaans
Foam at the mouth,English
The apple of my eye,English
Mud - your name is,English
Bottom drawer,English
Technicolor yawn,English
Jerry built,English
Shot heard 'round the world - The,English
Jimmy Horner,English
Die kreeftegang van agteruitgaan.,Afrikaans
Die aarde is toe te koud vir hom om op te trap. .,Afrikaans
Butterfingers,English
Daft as a brush,English
In my minds eye,English
"Dit is maklik gesê, maar die eend lê die eier.",Afrikaans
Op iemand se dak afklim.,Afrikaans
Tuckered out,English
A sorry sight,English
In stitches,English
Ménage à trois,English
Come a cropper,English
Cock-a-hoop,English
Ticked off,English
As dead as a dodo,English
Four corners of the earth,English
Tempest in a teapot,English
Jou roes uitslaap.,Afrikaans
,Nederlands
,English
Upset the apple-cart,English
As different as chalk and cheese,English
Allemansvriend is niemandsvriend.  http://goo.gl/SddnQ,Afrikaans
Gert Erf is Gert Swerf.,Afrikaans
Over the top,English
Hy is maar onder die belt.,Afrikaans
Die baas knor weer vanmôre soos ‘n muishond met ‘n seer bal.,Afrikaans
Whole shebang - The,English
Trick or treat,English
Put your back up,English
Shaggy dog story,English
Squeaky bum time,English
Kiss me Hardy,English
Till the cows come home,English
‘n Stuiwer in die armbeurs gooi.,Afrikaans
The fly in the ointment,English
Buck stops here - The,English
Old as Methuselah,English
Hy hou van op die lawaaiwa klim.,Afrikaans
Top notch,English
Beyond our ken,English
We know where you live,English
Gee die duiwel wat hom toekom - hy slyp al lank genoeg aan sy steen.,Afrikaans
Richard the Third,English
Beelzebub has a devil for a sideboard,English
Crop up,English
Latin Phrases,English
Sea change,English
,English
Jy kan nooit wen as jy ‘n saak met die Duiwel het en sy kantoor is in die Hel nie.,Afrikaans
À la mode,English
The camera cannot lie,English
Freeze the balls off a brass monkey - cold enough to,English
Wild and woolly,English
Fine as frog's hair,English
So sue me,English
Nth degree,English
Brook no truck with,English
Fifteen minutes of fame,English
Die geld brand in sy sak.,Afrikaans
Thus far into the bowels of the land,English
"‘n Man se geld kan opraak, solank jou planne nie opraak nie.",Afrikaans
No names: no pack-drill,English
Cock-up,English
Break a leg,English
Filthy rich,English
"Al is die ouer hoe arm, hy dek tog warm.",Afrikaans
Thin air - Vanish into,English
Fall on your sword,English
Keep at bay,English
Muren hebben oren.,Nederlands
Haven't got a clue,English
Darkest hour is just before the dawn - The,English
Moenie die boot skommel nie.,Afrikaans
The usual suspects,English
,Nederlands
At sixes and sevens,English
Ball and chain,English
Pearls before swine,English
Neither a borrower nor a lender be,English
Hy is ganspen.,Afrikaans
Box-seat - in the,English
Chaise lounge,English
San fairy Ann,English
Old lang syne - see auld lang syne,English
Volmaaktheid is altyd bereikbaar op ‘n kleinigheid na.,Afrikaans
Sloane Ranger,English
Jan Alleman in die straat is die segsman vir die ouens wat met hulle mond vol tande staan.,Afrikaans
Sy ly aan bek-en-klouseer.,Afrikaans
High time,English
Popular fallacies - The Nonsense Nine,English
Ons kyk tot die droogte kom en dan kyk ons almal hemel toe.,Afrikaans
By die duiwel gaan bieg.,Afrikaans
As dikmelk kaas geword het.,Afrikaans
"As die pappot oorkook, maak dit ‘n gemors – ook van homself.",Afrikaans
"Wie de schoen past, trekke hem aan.",Nederlands
Ne'er cast a clout till May be out,English
The living daylights,English
Go for a burton,English
Pig's ear,English
Old chestnut,English
As pure as the driven snow,English
Dollars to donuts,English
Cast the first stone,English
"Space, the final frontier",English
Bread of life - The,English
Win hands down,English
At one fell swoop,English
,Nederlands
Fool's paradise - A,English
Primrose path,English
Tits up,English
Die kar draai sommer hier rûens in die pad.  [‘n Sêding in Riversdal.],Afrikaans
Shall I compare thee to a summer's day?,English
Act of God,English
Tie the knot,English
,Afrikaans
The toast of the town,English
Barge-pole - Wouldn't touch with a,English
My better half,English
Pot calling the kettle black - The,English
Fits to a tee,English
Beyond the pale,English
Throw in the towel,English
Ons werk kaal-voorlyf.,Afrikaans
Lead-pipe cinch,English
A drop in the bucket,English
Haar hart lê op haar tong.,Afrikaans
Sy gesang is uit.,Afrikaans
Out of the jaws of death,English
Separate the sheep from the goats,English
Chick flick,English
Queer the pitch,English
"Gert erf, is Gert swerf.",Afrikaans
Genade het nie ‘n horing nie. [Dalk beter bekend as “Genade het nie horings nie”. 🙂 ],Afrikaans
Hy is gesout teen masels.,Afrikaans
On with the motley,English
"Gesondheid in die rondheid, al die mooi meisies in die blomtyd.",Afrikaans
Chop and change,English
Take down a peg or two,English
Daniel come to judgement,English
You can lead a whore to culture but you can't make her think,English
Surfing the Net/surfing the Internet/surfing the Web,English
Eigen haard is goud waard.,Nederlands
Keen as mustard,English
"Bell, book and candle",English
Run rings around,English
Ek voel bietjie kop-onder-die-vlerk.,Afrikaans
Doom and gloom,English
A rose is a rose is a rose,English
Black-on-black,English
Vir geen geld ter wêreld nie.,Afrikaans
Burn the candle at both ends,English
,Afrikaans
Donkey's years,English
The bee's knees,English
Englishman's home is his castle,English
Clutch at straws,English
Blood and thunder,English
Star-crossed lovers,English
Watch the birdie,English
Sold down the river,English
“Hier het een gesit en pikstele knyp.”  – ingestuur deur Lödveteig Nan,Afrikaans
Fair play,English
On queer street,English
Hy het al harde korsies gebyt.,Afrikaans
"Die lewe is soos ‘n “niggerball”. Hy breek jou tande, maar jy hou aan suig.",Afrikaans
Clod-hopper,English
For good measure,English
Inside out,English
Draw a blank,English
,Afrikaans
Seven-year itch,English
Smart casual,English
The short end of the stick,English
Beter een half ei dan een lege dop.,Nederlands
Cotton-picking,English
A fate worse than death,English
Blown to smithereens,English
Daai klas wyn is nie vir ‘n man met ‘n dun kopvel nie.,Afrikaans
(Beware the) Ides of March,English
Climb on the bandwagon,English
Come on down,English
Sy trek holrug.,Afrikaans
Little bird told me - A,English
Hy het hier aangewaai gekom.,Afrikaans
"To gild refined gold, to paint the lily",English
Damp squib,English
Harbinger of doom,English
Die duiwel se briewe lees.,Afrikaans
Laid out in lavender,English
"Vriende is soos bottels medisyne. Jy moet hulle eers goed skud, voordat jy drink.",Afrikaans
Innocent until proven guilty,English
Fish rot from the head down,English
Mense is meer begaan oor wat hulle weet as om te ontdek wat hulle nog nie weet nie!!,Afrikaans
As happy as a sandboy,English
Sy kan die agterbeen van ‘n donkie afpraat.,Afrikaans
"Be afraid, be very afraid",English
Magical realism,English
Up shit creek without a paddle,English
Special relationship,English
Make no bones about,English
Yellow-belly,English
Physician heal thyself,English
Arty-farty,English
,Afrikaans
Yada yada,English
Close your eyes and think of England,English
Learn the ropes,English
On the fiddle,English
Land of nod - The,English
Shut your cake-hole,English
High five,English
Salt of the earth - The,English
"Jy kan nie met skoon hande modder gooi nie, nog minder met ‘n rein mond gif spoeg.",Afrikaans
Bite the bullet,English
Dit afklink.,Afrikaans
Je moet geen oude koeien uit de sloot halen.,Nederlands
Sight for sore eyes (A),English
The real McCoy,English
‘n Skimp kan seerder maak as ‘n skop.,Afrikaans
Excuse me while I kiss this guy,English
Train surfing,English
Quotations,English
Daar is ‘n dief aan die kers.,Afrikaans
Gou op sy agterpote wees.,Afrikaans
Cry havoc and let slip the dogs of war,English
Cobblers - A load of,English
Hocus pocus,English
Die luiaard is die enigste man wat van sy slaap moet rekenskap gee.,Afrikaans
Friend in need is a friend indeed - A,English
Die Stormers moet nou opstaan uit daai lamrugby-groef waarin hulle verval het.,Afrikaans
Better late than never,English
Chock-a-block,English
Name is mud,English
Gemak ondermyn ‘n mens.,Afrikaans
Test your mettle - see show your mettle,English
Lions led by donkeys,English
Hy is so los soos ‘n druiwetros.,Afrikaans
Gry - Words ending in,English
A sea change,English
As the crow flies,English
Catch 22,English
Beter laat dan nooit.,Nederlands
"Wanneer jy dink dat jy onmisbaar is, moet jy ‘n emmer water neem, jou vuis en arm daarin druk en dan stadig uittrek. Die gat wat in die water oorbly, is die mate waarin jy gemis sal word.",Afrikaans
Upper hand,English
Infra dig,English
‘n Ou bok lus ook nog ‘n groen blaartjie.,Afrikaans
Men in suits,English
Pig's back - on the,English
Living off the fat of the land,English
Op die bokwa wees.,Afrikaans
Dit is net ‘n brekfis.,Afrikaans
Cloak and dagger,English
As die hingste vul .,Afrikaans
Hooray Henry,English
Dassie het ‘n stert gekry.,Afrikaans
Without so much as a by your leave,English
Fits and starts,English
Shiver my timbers,English
“Sy skop nie baie watts uit nie”  – ingestuur deur Hanlie,Afrikaans
Let not the sun go down on your wrath,English
Full of piss and vinegar,English
That's all folks!,English
‘n Gat in die dag slaap.,Afrikaans
Hy het al weer aalwyn getap.,Afrikaans
Blow your own trumpet,English
Silly Billy,English
Fly by the seat of one's pants,English
Toe the line,English
Not tonight Josephine,English
Keep a stiff upper lip,English
Elementary my dear Watson,English
My cup runneth over,English
Call a spade a spade,English
Complete shambles,English
"‘n Mens kan die wyn nie beoordeel, deur na die vat te kyk nie.",Afrikaans
"Om te dink is maklik; om te doen is moeilik; Om te doen soos ‘n mens dink, is die moeilikste van alles.",Afrikaans
"‘n Mens het nog nie gemoedskalmte, voordat jy nie kan niksdoen, lekkerdoen nie!",Afrikaans
"As jou pad deur die kantvoorspelers versper word, gebruik jy die geweldbreek. – Danie Craven",Afrikaans
Brand spanking new,English
Misdaad loont niet.,Nederlands
Is this a dagger which I see before me?,English
Not worth a plugged nickel,English
Dit is vir my Grieks en ek maak nie kop of stert daarvan uit nie.,Afrikaans
Stiffen the sinews,English
Accidents will happen,English
Far from the madding crowd,English
About face,English
Dit sal my laat ystervarke vang.,Afrikaans
Ethnic cleansing,English
Jy sal vir jou moet laat kyk deur sewe skeel kamele.,Afrikaans
Soos ’n hand vol vlieë.,Afrikaans
Go to pot,English
Erken as jy verkeerd is en bly stil as jy reg is.,Afrikaans
"Horse, a horse, my kingdom for a horse - A",English
Luiaard gaan na die mier.,Afrikaans
Smallest room in the house - The,English
Carey Street - On,English
Nail your colours to the mast,English
The elephant in the room,English
Road rage,English
(Can't) hold a candle to,English
Heard it through the grapevine,English
Heebie-jeebies - The,English
Such is life,English
Maer bokke dip.,Afrikaans
Whet your appetite,English
De pot verwijt de ketel dat hij zwart ziet.,Nederlands
So eet dat ‘n kat nie met jou maag kan wegloop nie.,Afrikaans
Haar haan moet altyd koning kraai.,Afrikaans
Heads up,English
Give up the ghost,English
Pull the wool over your eyes,English
Never give a sucker an even break,English
Chickens come home to roost,English
A hiding to nothing - On,English
Blonde bombshell,English
Daar is baie goeie maniere om jou teen versoeking te beskerm – die maklikste is om ‘n lafaard te wees.,Afrikaans
"O Romeo, Romeo! wherefore art thou Romeo?",English
Hy’t sommer so sjierts by ons verbygejaag.,Afrikaans
Dit is iemand anders se breinkind.,Afrikaans
,English
Comparisons are odious,English
"Spring forward, fall back",English
Hy is pad op.,Afrikaans
Born with a silver spoon in one's mouth,English
White elephant,English
The law is an ass,English
Jy sal verbaas wees hoeveel van jou geheime sondes jou bure weet. Hoekom sal hulle met jou daaroor praat? Hulle reken jy weet dit immers self.,Afrikaans
Shot across the bows,English
"Die Julius is hardekoejawel, inkoejawel en ingat!",Afrikaans
"Ons is wat ons herhaaldelik doen. Perfeksie is derhalwe nie ‘n daad nie, maar ‘n gewoonte",Afrikaans
By hook or by crook,English
A piece of the action,English
Another think coming,English
Handbags at ten paces,English
Sandwich short of a picnic,English
A fly in the ointment,English
My salad days,English
Swart Grietjie soen.,Afrikaans
Man who is his own lawyer has a fool for a client - A,English
Hy hou van ankers uitgooi by elke stopstraat.,Afrikaans
"Hung, drawn and quartered",English
A tinker's damn,English
Watching brief,English
Maak die pas van die natuur jou eie – haar geheim is geduld en volharding.,Afrikaans
Speak softly and carry a big stick,English
"Moenie fout vind nie, vind ‘n oplossing.",Afrikaans
Parting shot / Parthian shot,English
,Afrikaans
Live long and prosper,English
Even at the turning of the tide,English
Hy is bekend as die bont hond.,Afrikaans
The back of beyond,English
For the birds,English
New kid on the block,English
"Om die toekoms te ken, is om verveeld te wees.",Afrikaans
Don't let the bastards grind you down,English
The belle of the ball,English
The life of Riley,English
À la carte,English
Moenie jou kinders onskuldige plesier belet nie. Hulle sal dit steel en dan is jy nie daarby om te sien dat hulle nie die skuldige by steel nie.,Afrikaans
Minced oaths,English
Ask a silly question and you'll get a silly answer,English
Ek wonder hoeveel hy sal vra om in ‘n drie-slaapkamer huis te spook?  [bydrae: Allan],Afrikaans
Pass the buck,English
Do unto others as you would have them do to you,English
Left hand doesn't know what the right hand is doing,English
Bokveld toe gaan.,Afrikaans
Jan Rap en sy maat dans die riel vanaand.,Afrikaans
Fixer-upper,English
Batten down the hatches,English
Son of a gun,English
Local derby,English
Lyk of hy van die ape gekul is.,Afrikaans
Don't keep a dog and bark yourself,English
Hy vryf graag haar boud.,Afrikaans
A wolf in sheep's clothing,English
Daar is te veel dak op die huis.,Afrikaans
To all intents and purposes,English
(In a) pig's eye,English
"Vra my broer Jack, hy lieg nes ek!",Afrikaans
Year dot - The,English
The year dot,English
High and dry,English
A leopard cannot change its spots,English
Skeleton in the closet,English
To cast the first stone,English
Rum do,English
"Some men are born mediocre, some men achieve mediocrity, and some men, have mediocrity thrust upon them",English
The love that dare not speak its name,English
Armoede leer ‘n maer hond bene kou.,Afrikaans
When pigs fly,English
Straight as a die,English
Thou shalt not kill,English
Snug as a bug in a rug,English
Darling buds of May,English
Go Dolally,English
Ring down the curtain,English
My mind's eye,English
Sour grapes,English
Name and shame,English
"Hark, hark! the lark at heaven's gate sings",English
On a wing and a prayer,English
Vir ‘n man horings opsit.,Afrikaans
Scot free,English
"As klein mensies groot skaduwees begin gooi, is die son besig om onder te gaan.",Afrikaans
No rest for the wicked,English
By the short hairs,English
Dead as a dodo,English
Bricks and clicks,English
Dit weet die aap se stert.,Afrikaans
Fit as a fiddle,English
Go by the book,English
,Afrikaans
Wing it,English
A miss is as good as a mile,English
Play ducks and drakes,English
Back to the drawing board,English
What are you like?,English
Worse for wear,English
Clean breast - make a,English
You've never had it so good,English
Beetle-browed,English
Tickled pink,English
"Ons is gebore om die waarheid na te streef – om dit te besit, is die voorreg van ‘n Hoër Mag.",Afrikaans
Charm offensive,English
Farmers,English
Turn the tables,English
My stars and garters,English
,Nederlands
The Big Easy,English
,Nederlands
Carpe diem,English
Throw your hat into the ring,English
Similes,English
Blow your mind,English
(Take with a) grain of salt,English
Derdemannetjie speel.,Afrikaans
Half inch,English
Plug ugly,English
I have nothing to offer but blood toil tears and sweat,English
The quick and the dead,English
Hy is kiepkop.,Afrikaans
Surf and turf,English
Hold your horses,English
Swan song,English
Cold enough to freeze the balls off a brass monkey,English
Get over it,English
Round Robin,English
Toe-curling,English
Take the bit between your teeth,English
Het hart zonk hem in zijn schoenen.,Nederlands
The chickens come home to roost,English
Up the wooden hill to Bedfordshire,English
Full Monty - The,English
Bolt from the blue,English
Down the tubes,English
Not playing with a full deck,English
Die sout van die aarde.,Afrikaans
Urban myth,English
"As jy jonk wil bly, bly bruikbaar.",Afrikaans
Ear candy,English
Foul play,English
Namby-pamby,English
Chip off the old block,English
Back of beyond - The,English
A good man is hard to find,English
More fool you,English
Kickin' - Alive and,English
Wax poetic,English
Before you can say Jack Robinson,English
Guinea pig,English
Cock a snook,English
End of story,English
Sy kloek soos 'n hen al om haar kuikens.,Afrikaans
Down the pan,English
When it comes to the crunch,English
Daar is ‘n definitiewe korrelasie tussen leesvermoë en leervermoë.,Afrikaans
Jacob is doringskof vir Julius.,Afrikaans
Nie ‘n A van ‘n B ken nie.,Afrikaans
"Jors het al vroegmôre gedrink, kanteldronk geraak, nou is hy ge-aap en lê-tiep.",Afrikaans
Picture is worth a thousand words - A,English
Oops-a-daisy,English
Booby prize,English
Bitter end - The,English
Walter Scott (phrases coined by),English
As cute as a bug's ear,English
(Ne'er) cast a clout till May be out,English
"Jors het die naweek weer netjies gevat, nou’s hy weer tieprag op die Maandag.",Afrikaans
Moenie al die aanbrandsel uit jou pot krap nie.,Afrikaans
The early bird catches the worm,English
Jot or tittle,English
,Nederlands
"Sy het so ‘n broeishennetjie-manier van aanlê by die seuns, draai al om hulle.",Afrikaans
Geen mens het nog ooit in sy slaap ryk geword nie.,Afrikaans
Identity theft,English
Packed to the gunwales,English
Sledgehammer to crack a nut - A,English
Ryk gesaai bankrot ge-oes.,Afrikaans
Beer and skittles,English
Go off half-cocked,English
Put on your thinking cap,English
,English
Everybody out,English
Come what come may,English
Let bygones be bygones,English
Don't count your chickens before they are hatched,English
Dit het gister net so ‘n slangsleepseltjie gereent in die Kaap.,Afrikaans
Strike while the iron is hot,English
Die Jors is ‘n regte agterdeursuiper.,Afrikaans
Drop in the bucket - A,English
"Liewers ‘n kort skande, as ‘n lang verdriet.",Afrikaans
Hell has no fury like a woman scorned,English
Get off your high horse,English
"When in Rome, do as the Romans do",English
Cut and run,English
A Daniel come to judgement,English
Van een kale kip kan men niet plukken.,Nederlands
Second-guess,English
Jou akker sal kraak.,Afrikaans
"Zoals de waard is, vertrouwt hij zijn gasten.",Nederlands
Set your teeth on edge,English
"Hoe korter jy jou kuier maak, hoe gouer sal jy weer genooi word.",Afrikaans
Met iets te koop loop.,Afrikaans
‘n Perd agterstevoor ry.,Afrikaans
Grand slam,English
Knock on wood,English
Pork pies,English
Bury the hatchet,English
Offing - In the,English
Go to the mattresses,English
Dit is te dik vir ‘n Daalder.,Afrikaans
Dié naweek drink ons tot die bodem!,Afrikaans
De tijd zal het leren.,Nederlands
Keep your nose to the grindstone,English
It's better to light a candle than curse the darkness,English
,English
Living daylights,English
Bubble and squeak,English
Get your dander up,English
Stuff and nonsense,English
God rot them,English
Sagte dokters maak stinkende wonde.,Afrikaans
Hy is gecollar en getie.,Afrikaans
"Wiens broodt men eet, die’ns woord met spreekt.",Afrikaans
Make him an offer he can't refuse,English
"Selfs in die slegste vorm van werk, raak die mens se hele siel in harmonie did oomblik dat dit begin werk.",Afrikaans
Hit the hay,English
Strait and narrow,English
In an interesting condition,English
"Van werk word ek nooit, nooit moeg nie – wat my gedaan maak, is die werk wat lê en wag.",Afrikaans
Blood toil tears and sweat,English
Sexton Blake,English
Betaal ‘n donkie se prys en moenie ‘n perd se dienste te wagte wees nie.,Afrikaans
‘n Goeie gewete is ‘n sagte kussing.,Afrikaans
Beggars can't be choosers,English
Plugged nickel,English
Kowtow to,English
Tell it to the marines,English
"As die herder dwaal, dool die skape.",Afrikaans
“Hy is twee Castles kort van ‘n sixpack.”  – ingestuur deur Andre,Afrikaans
Iemand sal die babatjie moet vashou.,Afrikaans
Keep the ball rolling,English
Bad books,English
At one's beck and call,English
Up the duff,English
Butter side down,English
A little of what you fancy does you good,English
Little of what you fancy does you good - A,English
Balance of power - The,English
"Geld wat sleg is, maak krom wat reg is.",Afrikaans
Chris van Rooyen: “Hy het ‘n klein koppie soos ‘n ver gooi kierie.”,Afrikaans
Soms is die lewe soos n kakkerlak … meer k@k as luck!,Afrikaans
Pull in your horns,English
April fool,English
,English
Hy probeer hoër vlieg as wat sy vlerke lank is.,Afrikaans
ŉ Man saai nie koring in ŉ varkhok nie.,Afrikaans
