number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,neighborhood,rental_price
2,1,729,good,12,west_welmwood,3195
0,1,238,poor,17,northwest,1471
0,1,538,good,10,west_welmwood,1863
2,1,631,poor,23,northwest,3000.886
0,1,542,poor,45,northwest,1400.3
3,2,883,poor,34,northwest,4242.78
2,1,703,poor,46,northwest,2664.828
1,1,441,poor,55,northwest,1298.28
3,2,1231,poor,62,northwest,4053.3
1,1,692,great,8,east_elmwood,2590
0,1,540,good,7,west_welmwood,1834
1,1,326,good,3,west_welmwood,1773
2,1,839,great,9,east_elmwood,3816
3,2,1173,great,4,east_elmwood,5445
1,1,569,poor,17,northwest,1937
2,1,622,great,10,east_elmwood,3635
2,1,716,poor,17,northwest,3183
1,1,548,good,12,west_welmwood,1973
2,1,591,poor,28,northwest,2906.736
3,2,868,poor,22,northwest,4435.188
2,1,853,poor,27,northwest,3168.018
1,1,733,great,2,east_elmwood,2760
2,1,710,good,14,west_welmwood,3196
0,1,151,good,0,west_welmwood,1535
3,2,1013,poor,25,northwest,4577.76
0,1,289,poor,54,northwest,1078.324
0,1,440,good,12,west_welmwood,1746
2,1,714,good,11,west_welmwood,3202
3,2,931,good,1,west_welmwood,4762
3,2,938,poor,19,northwest,4634
3,2,1191,great,0,east_elmwood,5558
1,1,495,good,6,west_welmwood,1945
3,2,1077,poor,20,northwest,4722
2,1,782,great,11,east_elmwood,3744
3,2,1099,good,7,west_welmwood,4893
0,1,398,great,13,east_elmwood,2128
1,1,385,good,13,west_welmwood,1775
0,1,213,good,13,west_welmwood,1526
0,1,180,poor,37,northwest,1158.234
3,2,979,poor,34,northwest,4331.232
2,1,757,good,5,west_welmwood,3312
1,1,673,great,9,east_elmwood,2619
1,1,438,good,9,west_welmwood,1798
0,1,110,great,2,east_elmwood,2037
1,1,577,good,5,west_welmwood,2017
2,1,905,good,4,west_welmwood,3459
3,2,856,good,4,west_welmwood,4712
3,2,1082,great,12,east_elmwood,5273
0,1,174,good,14,west_welmwood,1429
1,1,435,poor,60,northwest,1198.76
2,1,765,poor,38,northwest,2845.728
1,1,628,good,10,west_welmwood,2040
1,1,735,great,10,east_elmwood,2621
1,1,568,good,14,west_welmwood,1947
1,1,625,good,10,west_welmwood,2008
2,1,846,good,2,west_welmwood,3470
2,1,518,good,3,west_welmwood,3094
3,2,1185,poor,53,northwest,4190.858
0,1,531,good,7,west_welmwood,1906
3,2,1245,good,3,west_welmwood,5057
0,1,384,poor,36,northwest,1370.688
3,2,940,good,9,west_welmwood,4741
1,1,740,good,1,west_welmwood,2265
1,1,307,great,0,east_elmwood,2348
2,1,548,good,10,west_welmwood,3086
0,1,461,great,1,east_elmwood,2390
3,2,1145,good,4,west_welmwood,4947
0,1,522,good,7,west_welmwood,1827
0,1,324,good,14,west_welmwood,1570
2,1,528,poor,34,northwest,2743.956
0,1,498,poor,63,northwest,1150.726
1,1,725,good,8,west_welmwood,2100
2,1,612,good,7,west_welmwood,3183
1,1,496,poor,59,northwest,1318.46
2,1,769,poor,49,northwest,2679.99
3,2,1034,good,6,west_welmwood,4811
2,1,646,poor,57,northwest,2516.868
3,2,901,good,12,west_welmwood,4635
3,2,1167,good,11,west_welmwood,4895
0,1,405,poor,45,northwest,1253.05
3,2,1242,good,14,west_welmwood,4936
1,1,599,good,3,west_welmwood,2084
1,1,587,good,3,west_welmwood,2101
2,1,810,good,3,west_welmwood,3398
1,1,709,good,9,west_welmwood,2161
0,1,497,good,0,west_welmwood,1906
1,1,305,good,0,west_welmwood,1794
2,1,667,good,6,west_welmwood,3220
3,2,895,good,11,west_welmwood,4663
3,2,1161,good,9,west_welmwood,4906
0,1,387,poor,29,northwest,1473.982
1,1,503,good,0,west_welmwood,2014
2,1,856,great,4,east_elmwood,3881
1,1,444,great,11,east_elmwood,2327
0,1,207,good,3,west_welmwood,1563
1,1,676,good,1,west_welmwood,2204
3,2,1059,poor,25,northwest,4642.11
1,1,573,great,9,east_elmwood,2436
0,1,285,good,13,west_welmwood,1595
0,1,490,good,1,west_welmwood,1864
3,2,824,good,3,west_welmwood,4631
0,1,234,good,7,west_welmwood,1562
2,1,920,poor,15,northwest,3354
3,2,966,good,14,west_welmwood,4689
0,1,423,good,12,west_welmwood,1725
2,1,932,great,2,east_elmwood,3980
0,1,419,poor,28,northwest,1481.904
2,1,752,good,5,west_welmwood,3342
2,1,671,poor,51,northwest,2602.95
2,1,628,poor,51,northwest,2505.398
3,2,1058,good,12,west_welmwood,4808
2,1,668,poor,62,northwest,2386.18
0,1,131,poor,37,northwest,1086.75
0,1,269,good,9,west_welmwood,1565
1,1,663,good,9,west_welmwood,2083
3,2,1219,poor,34,northwest,4635.468
1,1,536,poor,41,northwest,1558.666
0,1,215,good,11,west_welmwood,1532
1,1,558,poor,51,northwest,1407
3,2,1242,great,1,east_elmwood,5577
1,1,672,poor,30,northwest,1808.1
1,1,497,good,4,west_welmwood,1940
1,1,598,great,2,east_elmwood,2549
3,2,1134,good,0,west_welmwood,4959
3,2,1174,great,11,east_elmwood,5380
1,1,476,poor,30,northwest,1601.32
0,1,228,great,1,east_elmwood,2129
0,1,389,great,12,east_elmwood,2136
0,1,489,great,7,east_elmwood,2285
1,1,352,poor,48,northwest,1281.008
0,1,544,good,7,west_welmwood,1923
1,1,604,poor,29,northwest,1744.032
1,1,528,good,5,west_welmwood,2023
3,2,1036,great,12,east_elmwood,5305
3,2,1060,poor,42,northwest,4265.672
2,1,872,good,2,west_welmwood,3433
1,1,477,good,4,west_welmwood,1894
2,1,933,poor,16,northwest,3398
1,1,511,good,10,west_welmwood,1941
0,1,228,poor,19,northwest,1443
2,1,819,poor,55,northwest,2668.17
1,1,556,great,10,east_elmwood,2447
0,1,318,poor,33,northwest,1340.224
3,2,814,good,3,west_welmwood,4680
3,2,1215,poor,48,northwest,4371.664
0,1,190,poor,44,northwest,1137.64
2,1,594,good,1,west_welmwood,3217
0,1,310,poor,39,northwest,1306.396
2,1,629,great,7,east_elmwood,3690
3,2,957,good,7,west_welmwood,4687
3,2,1056,great,10,east_elmwood,5328
2,1,741,good,0,west_welmwood,3370
1,1,447,good,10,west_welmwood,1889
2,1,772,great,0,east_elmwood,3839
2,1,669,poor,32,northwest,2861.632
1,1,485,poor,39,northwest,1551.706
1,1,462,great,5,east_elmwood,2387
1,1,430,great,6,east_elmwood,2332
3,2,1183,good,7,west_welmwood,4920
3,2,875,poor,27,northwest,4408.406
1,1,496,good,14,west_welmwood,1839
3,2,993,great,6,east_elmwood,5290
0,1,446,poor,38,northwest,1395.872
0,1,431,good,1,west_welmwood,1855
0,1,300,great,1,east_elmwood,2228
0,1,304,good,5,west_welmwood,1610
2,1,748,poor,38,northwest,2894.892
0,1,182,poor,49,northwest,1051.272
0,1,198,good,1,west_welmwood,1577
3,2,1129,poor,52,northwest,4188.6
3,2,1005,good,2,west_welmwood,4807
2,1,509,great,14,east_elmwood,3502
2,1,731,poor,29,northwest,3002.956
2,1,809,poor,45,northwest,2846.2
0,1,232,poor,44,northwest,1179.528
0,1,247,poor,27,northwest,1402.092
1,1,682,great,4,east_elmwood,2689
1,1,493,poor,34,northwest,1571.724
1,1,536,good,2,west_welmwood,2043
0,1,513,poor,59,northwest,1238.246
3,2,1218,good,1,west_welmwood,5076
3,2,1072,good,4,west_welmwood,4875
2,1,778,good,0,west_welmwood,3362
2,1,773,good,12,west_welmwood,3290
0,1,372,great,1,east_elmwood,2268
3,2,1146,poor,31,northwest,4590.732
3,2,904,good,7,west_welmwood,4670
0,1,263,good,6,west_welmwood,1621
2,1,784,good,5,west_welmwood,3295
1,1,669,great,13,east_elmwood,2555
0,1,488,good,4,west_welmwood,1891
0,1,231,good,11,west_welmwood,1510
2,1,849,good,2,west_welmwood,3399
2,1,621,good,3,west_welmwood,3227
1,1,483,good,8,west_welmwood,1884
0,1,243,good,5,west_welmwood,1561
2,1,840,good,10,west_welmwood,3349
3,2,1141,good,11,west_welmwood,4852
0,1,311,poor,40,northwest,1243.2
3,2,832,great,3,east_elmwood,5146
2,1,546,good,9,west_welmwood,3092
0,1,483,good,10,west_welmwood,1801
1,1,390,poor,63,northwest,1189.114
1,1,473,poor,37,northwest,1580.376
3,2,1080,good,3,west_welmwood,4884
2,1,815,poor,37,northwest,2926.014
0,1,289,poor,22,northwest,1424.28
1,1,372,good,11,west_welmwood,1797
2,1,949,great,10,east_elmwood,3939
2,1,754,poor,31,northwest,2948.67
0,1,105,poor,53,northwest,864.884
2,1,848,good,11,west_welmwood,3306
1,1,737,poor,35,northwest,1843.97
2,1,856,poor,26,northwest,3136.9
3,2,953,poor,46,northwest,4070.712
0,1,449,poor,45,northwest,1363.25
3,2,1134,good,7,west_welmwood,4922
2,1,601,good,0,west_welmwood,3153
2,1,743,good,10,west_welmwood,3230
1,1,436,good,9,west_welmwood,1850
0,1,280,good,1,west_welmwood,1701
2,1,923,good,3,west_welmwood,3522
0,1,364,great,5,east_elmwood,2237
0,1,246,good,8,west_welmwood,1608
0,1,202,poor,23,northwest,1390.606
0,1,489,good,12,west_welmwood,1738
1,1,517,good,8,west_welmwood,1963
0,1,300,good,6,west_welmwood,1661
2,1,587,good,2,west_welmwood,3132
1,1,350,good,1,west_welmwood,1852
2,1,776,good,1,west_welmwood,3354
0,1,142,good,12,west_welmwood,1418
2,1,802,great,1,east_elmwood,3885
0,1,454,poor,17,northwest,1662
1,1,524,poor,64,northwest,1258.56
2,1,553,great,14,east_elmwood,3485
3,2,1139,great,13,east_elmwood,5397
2,1,820,good,8,west_welmwood,3324
0,1,505,good,14,west_welmwood,1738
0,1,340,poor,57,northwest,1101.94
3,2,1189,good,8,west_welmwood,4956
3,2,1165,great,0,east_elmwood,5525
0,1,400,poor,38,northwest,1356.348
3,2,1214,great,14,east_elmwood,5405
1,1,493,good,13,west_welmwood,1846
0,1,344,poor,64,northwest,983.136
0,1,367,poor,57,northwest,1138.98
2,1,864,great,5,east_elmwood,3935
1,1,384,poor,36,northwest,1451.032
2,1,948,good,3,west_welmwood,3549
0,1,390,poor,32,northwest,1443.504
0,1,435,good,12,west_welmwood,1683
1,1,725,great,10,east_elmwood,2672
0,1,456,poor,39,northwest,1364.116
2,1,788,good,5,west_welmwood,3295
2,1,810,good,10,west_welmwood,3331
0,1,456,good,13,west_welmwood,1721
1,1,349,great,0,east_elmwood,2333
3,2,1065,good,3,west_welmwood,4848
2,1,623,poor,36,northwest,2817.848
1,1,543,good,8,west_welmwood,1952
3,2,1047,good,8,west_welmwood,4816
0,1,189,poor,63,northwest,883.838
1,1,323,great,4,east_elmwood,2239
0,1,221,poor,20,northwest,1454
3,2,1022,poor,20,northwest,4672
1,1,539,good,10,west_welmwood,1987
1,1,619,poor,29,northwest,1814.736
2,1,742,poor,42,northwest,2840.276
0,1,481,poor,45,northwest,1397.45
3,2,1246,great,10,east_elmwood,5540
1,1,530,great,1,east_elmwood,2546
2,1,536,poor,37,northwest,2695.14
3,2,1193,great,13,east_elmwood,5424
1,1,347,good,3,west_welmwood,1806
3,2,970,good,14,west_welmwood,4640
3,2,1081,poor,26,northwest,4587.284
3,2,885,good,4,west_welmwood,4701
3,2,803,great,1,east_elmwood,5129
2,1,785,poor,25,northwest,3145.23
3,2,1042,poor,36,northwest,4354.064
2,1,576,good,1,west_welmwood,3173
0,1,412,poor,41,northwest,1307.67
3,2,1189,good,8,west_welmwood,4996
2,1,771,great,2,east_elmwood,3826
2,1,847,poor,59,northwest,2651.672
3,2,1114,great,9,east_elmwood,5355
2,1,618,great,2,east_elmwood,3746
0,1,424,good,7,west_welmwood,1732
0,1,494,good,12,west_welmwood,1786
3,2,1113,great,3,east_elmwood,5447
3,2,1155,great,10,east_elmwood,5451
0,1,123,good,0,west_welmwood,1527
0,1,264,poor,62,northwest,949.892
2,1,864,good,3,west_welmwood,3456
1,1,440,good,3,west_welmwood,1894
3,2,1023,poor,54,northwest,4055.132
1,1,600,good,5,west_welmwood,2020
1,1,671,good,5,west_welmwood,2156
1,1,400,good,11,west_welmwood,1789
3,2,813,great,4,east_elmwood,5096
2,1,563,good,8,west_welmwood,3096
1,1,304,good,9,west_welmwood,1759
2,1,783,poor,26,northwest,3105.284
1,1,698,poor,39,northwest,1774.89
2,1,935,great,13,east_elmwood,3903
1,1,711,good,13,west_welmwood,2033
3,2,926,good,1,west_welmwood,4723
3,2,901,poor,31,northwest,4372.638
3,2,1002,poor,39,northwest,4314.57
1,1,442,good,0,west_welmwood,1929
0,1,483,poor,55,northwest,1243.41
0,1,191,poor,51,northwest,1010.226
3,2,882,poor,29,northwest,4385.612
1,1,531,poor,28,northwest,1711.176
1,1,495,good,4,west_welmwood,1938
3,2,857,poor,53,northwest,3886.374
1,1,561,poor,47,northwest,1459.678
0,1,256,poor,21,northwest,1396.202
2,1,643,good,14,west_welmwood,3123
3,2,1112,good,14,west_welmwood,4782
3,2,1153,good,13,west_welmwood,4882
2,1,532,great,10,east_elmwood,3509
2,1,519,poor,53,northwest,2417.192
1,1,661,poor,61,northwest,1460.538
0,1,226,poor,56,northwest,1006.88
0,1,286,great,6,east_elmwood,2129
0,1,205,good,9,west_welmwood,1508
0,1,231,good,1,west_welmwood,1575
3,2,1103,good,12,west_welmwood,4872
1,1,586,poor,48,northwest,1488.688
2,1,552,good,9,west_welmwood,3046
2,1,927,poor,26,northwest,3201.12
1,1,395,poor,60,northwest,1219
0,1,220,great,10,east_elmwood,2010
3,2,1054,good,11,west_welmwood,4794
1,1,611,good,0,west_welmwood,2151
0,1,128,good,14,west_welmwood,1343
3,2,813,great,13,east_elmwood,5004
3,2,1041,poor,48,northwest,4147.936
0,1,316,great,9,east_elmwood,2138
3,2,853,good,14,west_welmwood,4546
2,1,662,poor,61,northwest,2395.98
3,2,831,great,9,east_elmwood,5102
2,1,897,good,3,west_welmwood,3432
3,2,1066,good,13,west_welmwood,4777
1,1,663,poor,53,northwest,1541.1
0,1,463,poor,33,northwest,1453.208
0,1,442,great,14,east_elmwood,2174
0,1,226,good,5,west_welmwood,1583
1,1,519,poor,59,northwest,1282.502
0,1,438,good,11,west_welmwood,1739
2,1,663,good,1,west_welmwood,3234
1,1,323,great,9,east_elmwood,2229
3,2,898,great,10,east_elmwood,5150
3,2,1097,poor,56,northwest,4044.224
3,2,1094,good,7,west_welmwood,4862
3,2,1245,great,13,east_elmwood,5482
3,2,967,good,12,west_welmwood,4706
2,1,866,poor,46,northwest,2880.024
3,2,972,good,2,west_welmwood,4766
0,1,531,poor,15,northwest,1819
1,1,429,good,11,west_welmwood,1785
0,1,530,good,10,west_welmwood,1853
1,1,710,good,9,west_welmwood,2089
3,2,1166,poor,37,northwest,4522.812
3,2,1184,good,9,west_welmwood,4962
3,2,872,poor,52,northwest,3900.312
2,1,606,good,12,west_welmwood,3071
2,1,724,poor,55,northwest,2594.7
0,1,176,great,1,east_elmwood,2035
1,1,578,good,14,west_welmwood,1903
1,1,665,great,4,east_elmwood,2633
3,2,813,poor,58,northwest,3756.06
1,1,499,poor,46,northwest,1420.104
0,1,225,good,7,west_welmwood,1578
3,2,1157,great,14,east_elmwood,5317
0,1,454,poor,60,northwest,1196.92
1,1,407,good,14,west_welmwood,1750
0,1,197,poor,58,northwest,916.608
2,1,774,great,3,east_elmwood,3821
3,2,1027,good,6,west_welmwood,4843
0,1,293,poor,35,northwest,1337.63
0,1,446,good,11,west_welmwood,1780
3,2,1134,poor,59,northwest,4091.836
0,1,493,good,9,west_welmwood,1798
3,2,1098,poor,63,northwest,3958.534
3,2,1096,poor,27,northwest,4574.054
2,1,689,good,5,west_welmwood,3261
2,1,699,great,14,east_elmwood,3682
1,1,637,great,11,east_elmwood,2546
1,1,344,good,2,west_welmwood,1810
0,1,154,good,9,west_welmwood,1454
1,1,726,good,11,west_welmwood,2079
1,1,698,good,5,west_welmwood,2159
3,2,1177,good,4,west_welmwood,4958
3,2,1058,great,6,east_elmwood,5359
0,1,489,great,4,east_elmwood,2324
1,1,347,poor,59,northwest,1202.288
2,1,901,poor,21,northwest,3300.386
3,2,1238,poor,53,northwest,4218.878
3,2,883,poor,64,northwest,3706.368
0,1,366,good,11,west_welmwood,1635
2,1,922,great,2,east_elmwood,4049
3,2,1000,good,13,west_welmwood,4694
1,1,601,great,13,east_elmwood,2520
2,1,911,poor,40,northwest,3026.88
1,1,518,good,13,west_welmwood,1922
2,1,504,good,12,west_welmwood,2990
1,1,350,good,6,west_welmwood,1800
0,1,224,poor,55,northwest,1017.42
3,2,830,poor,15,northwest,4536
2,1,659,poor,53,northwest,2515.262
1,1,525,poor,21,northwest,1785.422
3,2,1169,poor,61,northwest,4021.758
1,1,421,poor,27,northwest,1611.124
0,1,235,poor,21,northwest,1433.128
1,1,391,poor,19,northwest,1710
0,1,322,good,0,west_welmwood,1713
3,2,921,great,8,east_elmwood,5141
0,1,428,poor,33,northwest,1445.416
3,2,929,poor,31,northwest,4410.78
1,1,749,good,7,west_welmwood,2148
2,1,632,great,2,east_elmwood,3692
2,1,780,great,1,east_elmwood,3856
2,1,809,good,13,west_welmwood,3238
0,1,456,good,1,west_welmwood,1850
2,1,783,good,1,west_welmwood,3379
0,1,546,poor,44,northwest,1444.184
0,1,254,good,1,west_welmwood,1662
0,1,117,great,14,east_elmwood,1879
1,1,541,poor,51,northwest,1390.116
1,1,702,good,6,west_welmwood,2182
1,1,404,good,6,west_welmwood,1880
1,1,437,great,6,east_elmwood,2392
3,2,1059,poor,62,zaytuna_college,3970.86
2,1,547,good,7,north_berkeley,3028
2,1,814,poor,52,zaytuna_college,2705.976
2,1,647,good,14,north_berkeley,3059
2,1,846,good,0,north_berkeley,3434
3,2,1009,good,7,north_berkeley,4826
3,2,1137,good,3,north_berkeley,4949
3,2,1054,good,4,north_berkeley,4820
3,2,818,good,0,north_berkeley,4651
3,2,1155,good,4,north_berkeley,4992
1,1,355,good,11,north_berkeley,1703
0,1,309,great,7,east_elmwood,2105
2,1,565,great,3,east_elmwood,3644
2,1,745,good,12,north_berkeley,3178
2,1,644,poor,36,zaytuna_college,2830.432
0,1,506,poor,19,zaytuna_college,1740
1,1,300,great,6,east_elmwood,2273
1,1,530,poor,20,zaytuna_college,1853
3,2,911,great,5,east_elmwood,5199
1,1,616,poor,44,zaytuna_college,1586.984
0,1,234,poor,49,zaytuna_college,1059.75
1,1,636,poor,53,zaytuna_college,1515.882
0,1,397,good,5,north_berkeley,1716
3,2,1235,good,14,north_berkeley,4914
3,2,1061,poor,63,zaytuna_college,3912.834
0,1,270,good,1,north_berkeley,1661
1,1,620,good,12,north_berkeley,1950
3,2,875,poor,30,zaytuna_college,4359.04
1,1,689,good,10,north_berkeley,2117
1,1,716,good,12,north_berkeley,2102
3,2,1149,poor,49,zaytuna_college,4205.088
1,1,403,poor,16,zaytuna_college,1760
1,1,588,good,10,north_berkeley,2023
2,1,668,good,4,north_berkeley,3183
3,2,1211,good,7,north_berkeley,4966
1,1,467,good,10,north_berkeley,1839
3,2,987,good,12,north_berkeley,4689
1,1,617,good,0,north_berkeley,2067
0,1,171,poor,28,zaytuna_college,1239.84
0,1,440,good,3,north_berkeley,1854
1,1,326,good,3,north_berkeley,1809
3,2,1157,good,10,north_berkeley,4922
0,1,249,good,5,north_berkeley,1561
0,1,288,good,0,north_berkeley,1696
1,1,455,poor,20,zaytuna_college,1799
2,1,682,poor,46,zaytuna_college,2636.388
3,2,1143,poor,63,zaytuna_college,4027.084
2,1,684,great,6,east_elmwood,3740
1,1,433,good,8,north_berkeley,1840
3,2,874,good,7,north_berkeley,4698
1,1,488,great,10,east_elmwood,2379
0,1,371,great,7,east_elmwood,2243
1,1,572,good,0,north_berkeley,2057
0,1,196,great,1,east_elmwood,2045
3,2,1229,poor,19,zaytuna_college,4921
3,2,868,great,9,east_elmwood,5112
0,1,548,good,1,north_berkeley,1923
1,1,739,poor,48,zaytuna_college,1641.616
1,1,429,good,1,north_berkeley,1896
1,1,559,great,5,east_elmwood,2480
1,1,571,good,0,north_berkeley,2038
1,1,684,good,2,north_berkeley,2213
0,1,469,great,5,east_elmwood,2350
0,1,424,good,1,north_berkeley,1783
2,1,550,good,1,north_berkeley,3157
1,1,384,poor,49,zaytuna_college,1275.468
3,2,1165,poor,60,zaytuna_college,4105.96
3,2,1078,poor,24,zaytuna_college,4671.328
2,1,788,good,8,north_berkeley,3319
2,1,577,poor,58,zaytuna_college,2397.78
0,1,185,poor,23,zaytuna_college,1368.738
2,1,586,good,5,north_berkeley,3154
3,2,1105,good,8,north_berkeley,4847
3,2,933,good,2,north_berkeley,4792
1,1,315,poor,17,zaytuna_college,1672
1,1,466,good,9,north_berkeley,1887
1,1,637,good,8,north_berkeley,2095
2,1,536,good,14,north_berkeley,3036
0,1,235,great,4,east_elmwood,2047
3,2,813,good,10,north_berkeley,4533
1,1,748,poor,39,zaytuna_college,1740.258
2,1,926,poor,61,zaytuna_college,2648.43
0,1,348,good,8,north_berkeley,1638
2,1,777,good,8,north_berkeley,3342
0,1,245,poor,48,zaytuna_college,1061.056
1,1,319,great,6,east_elmwood,2295
3,2,1150,great,11,east_elmwood,5416
3,2,1198,good,6,north_berkeley,4981
0,1,155,good,4,north_berkeley,1510
1,1,562,good,5,north_berkeley,2015
1,1,608,poor,63,zaytuna_college,1331.698
3,2,915,great,3,east_elmwood,5275
2,1,719,good,11,north_berkeley,3218
0,1,357,poor,30,zaytuna_college,1391.6
2,1,759,great,2,east_elmwood,3791
1,1,659,poor,37,zaytuna_college,1704.024
2,1,760,good,2,north_berkeley,3381
2,1,875,great,3,east_elmwood,3949
2,1,637,great,8,east_elmwood,3698
3,2,1245,poor,51,zaytuna_college,4341.064
0,1,542,good,3,north_berkeley,1951
3,2,1165,great,10,east_elmwood,5370
2,1,583,great,0,east_elmwood,3709
1,1,659,great,8,east_elmwood,2552
1,1,564,great,2,east_elmwood,2586
1,1,300,poor,27,zaytuna_college,1535.202
2,1,688,great,14,east_elmwood,3697
2,1,935,good,12,north_berkeley,3444
1,1,721,great,10,east_elmwood,2589
3,2,1164,good,5,north_berkeley,4924
0,1,455,good,9,north_berkeley,1812
3,2,935,poor,61,zaytuna_college,3877.632
1,1,584,poor,41,zaytuna_college,1574.952
0,1,501,great,3,east_elmwood,2366
1,1,679,poor,29,zaytuna_college,1895.26
0,1,439,poor,54,zaytuna_college,1202.28
1,1,705,poor,56,zaytuna_college,1522.848
1,1,597,good,8,north_berkeley,2061
3,2,1127,great,12,east_elmwood,5402
0,1,493,good,6,north_berkeley,1830
2,1,619,good,3,north_berkeley,3160
3,2,1102,poor,50,zaytuna_college,4152.92
1,1,554,poor,37,zaytuna_college,1622.88
0,1,359,poor,15,zaytuna_college,1627
3,2,982,great,9,east_elmwood,5243
3,2,1084,poor,18,zaytuna_college,4793
0,1,257,good,13,north_berkeley,1518
3,2,1111,poor,64,zaytuna_college,3937.104
1,1,432,great,8,east_elmwood,2320
3,2,1063,great,10,east_elmwood,5292
0,1,546,great,12,east_elmwood,2286
2,1,752,poor,26,zaytuna_college,3045.016
0,1,478,good,6,north_berkeley,1814
2,1,739,great,3,east_elmwood,3775
1,1,506,good,6,north_berkeley,1920
3,2,1237,good,12,north_berkeley,4938
0,1,427,poor,55,zaytuna_college,1202.49
2,1,773,poor,32,zaytuna_college,3013.888
1,1,386,good,5,north_berkeley,1861
3,2,1232,good,11,north_berkeley,5015
0,1,468,poor,38,zaytuna_college,1396.836
0,1,235,good,3,north_berkeley,1597
0,1,135,good,7,north_berkeley,1417
1,1,537,poor,43,zaytuna_college,1521.63
2,1,663,good,8,north_berkeley,3146
1,1,662,great,9,east_elmwood,2538
3,2,1175,poor,33,zaytuna_college,4555.398
1,1,452,good,0,north_berkeley,1962
3,2,1224,good,6,north_berkeley,5040
2,1,651,great,4,east_elmwood,3721
1,1,304,great,2,east_elmwood,2288
3,2,1211,great,14,east_elmwood,5418
3,2,1123,poor,20,zaytuna_college,4727
1,1,654,poor,49,zaytuna_college,1535.46
1,1,630,good,6,north_berkeley,2079
1,1,631,poor,28,zaytuna_college,1863.696
0,1,435,good,14,north_berkeley,1681
0,1,400,good,1,north_berkeley,1747
3,2,1162,good,14,north_berkeley,4824
2,1,734,poor,37,zaytuna_college,2857.428
0,1,444,good,12,north_berkeley,1722
1,1,470,good,3,north_berkeley,1912
0,1,248,good,3,north_berkeley,1594
2,1,724,great,7,east_elmwood,3770
3,2,1136,good,3,north_berkeley,4930
3,2,891,poor,39,zaytuna_college,4168.346
2,1,629,great,12,east_elmwood,3623
0,1,484,great,6,east_elmwood,2346
0,1,203,good,8,north_berkeley,1554
3,2,1031,great,0,east_elmwood,5336
1,1,306,good,11,north_berkeley,1727
0,1,170,good,11,north_berkeley,1455
2,1,749,great,8,east_elmwood,3799
2,1,781,good,14,north_berkeley,3197
1,1,550,poor,17,zaytuna_college,1913
1,1,435,good,8,north_berkeley,1826
3,2,957,good,4,north_berkeley,4751
1,1,604,good,0,north_berkeley,2082
1,1,548,good,1,north_berkeley,2014
0,1,153,poor,17,zaytuna_college,1424
2,1,635,great,1,east_elmwood,3696
0,1,113,good,4,north_berkeley,1461
0,1,296,great,13,east_elmwood,2095
2,1,743,great,9,east_elmwood,3758
0,1,453,good,11,north_berkeley,1735
0,1,113,poor,31,zaytuna_college,1155.996
1,1,663,poor,37,zaytuna_college,1710.786
1,1,633,good,0,north_berkeley,2179
2,1,835,poor,33,zaytuna_college,3011.608
0,1,349,good,4,north_berkeley,1687
2,1,698,poor,41,zaytuna_college,2775.326
2,1,504,good,2,north_berkeley,3098
0,1,121,poor,54,frontage_rd,931.068
1,1,684,good,1,north_berkeley,2192
2,1,901,good,7,north_berkeley,3473
0,1,478,great,1,east_elmwood,2414
2,1,898,poor,41,frontage_rd,2952.556
1,1,482,good,14,north_berkeley,1804
0,1,239,poor,49,frontage_rd,1100.256
1,1,572,great,13,east_elmwood,2403
2,1,815,good,0,north_berkeley,3378
1,1,565,poor,61,frontage_rd,1349.46
3,2,1004,good,11,north_berkeley,4706
0,1,393,poor,49,frontage_rd,1214.238
0,1,117,great,3,east_elmwood,1939
0,1,448,poor,47,frontage_rd,1264.802
0,1,104,poor,20,frontage_rd,1322
1,1,391,good,10,north_berkeley,1761
0,1,542,good,5,north_berkeley,1889
0,1,365,good,9,north_berkeley,1716
0,1,510,poor,19,frontage_rd,1730
1,1,354,good,7,north_berkeley,1811
1,1,634,good,11,north_berkeley,1991
1,1,526,good,5,north_berkeley,1933
0,1,167,good,13,north_berkeley,1447
3,2,1018,poor,37,frontage_rd,4301.598
2,1,783,poor,54,frontage_rd,2613.328
1,1,416,good,3,north_berkeley,1862
3,2,916,poor,56,frontage_rd,3940.288
3,2,1223,good,1,north_berkeley,5092
1,1,359,poor,29,frontage_rd,1548.614
2,1,917,poor,29,frontage_rd,3211.14
1,1,338,great,9,east_elmwood,2266
3,2,926,poor,59,frontage_rd,3888.996
3,2,1116,great,14,east_elmwood,5361
3,2,1160,great,5,east_elmwood,5470
3,2,813,good,11,north_berkeley,4568
3,2,854,great,14,east_elmwood,5103
3,2,1068,great,11,east_elmwood,5347
2,1,758,great,4,east_elmwood,3824
2,1,741,good,11,north_berkeley,3184
2,1,761,poor,31,frontage_rd,2987.79
3,2,811,good,12,north_berkeley,4580
3,2,1005,great,9,east_elmwood,5305
0,1,190,good,6,north_berkeley,1550
3,2,953,poor,48,frontage_rd,4052.592
3,2,1206,good,1,north_berkeley,5011
2,1,637,great,7,east_elmwood,3692
3,2,980,good,4,north_berkeley,4791
1,1,318,good,11,north_berkeley,1671
3,2,1227,poor,32,frontage_rd,4669.184
0,1,398,poor,60,frontage_rd,1072.72
1,1,543,great,8,east_elmwood,2431
3,2,1207,poor,28,frontage_rd,4670.064
0,1,509,great,6,east_elmwood,2333
